JC Organization ID,Medicare CCN
8049,250136
5243,250134
4835,250123
8079,250122
8071,250104
8046,250100
8052,250099
8035,250096
8056,250094
2856,250093
8078,250084
8050,250082
309387,250077
8061,250072
236595,250067
8063,250048
8034,250044
8042,250042
8083,250040
8082,250034
8030,250025
78960,250020
8054,250019
2419,250017
2893,250010
8048,250009
8032,250007
8080,250006
8093,250004
236598,250003
2847,250002
8064,250001
16489,243302
309747,240213
298611,240210
5244,240207
2199,240187
2539,240166
8118,240162
8164,240152
8174,240141
8137,240132
8114,240117
125453,240115
8185,240106
8194,240104
4350,240101
3570,240094
8148,240093
8212,240088
4360,240084
8167,240083
2908,240080
8156,240078
8122,240076
8120,240075
8170,240069
8201,240066
4531,240064
298616,240063
8179,240061
8149,240057
8151,240053
3921,240052
8130,240047
8109,240043
8140,240040
8186,240038
8166,240037
8183,240036
8124,240020
8129,240019
185765,240018
8171,240016
8144,240013
8181,240010
8157,240004
8131,240002
8177,240001
3028,234030
3029,234006
7480,233300
5290,230277
4342,230275
7495,230273
7597,230270
7610,230269
7471,230259
7579,230254
7584,230241
7540,230230
3985,230222
2710,230219
7577,230216
7504,230199
159137,230197
7481,230195
7514,230189
480097,230186
36120,230180
7599,230176
7570,230172
7498,230165
7455,230156
7505,230153
7543,230145
7533,230143
7604,230142
7510,230141
7513,230133
7509,230132
7580,230130
7483,230128
7569,230121
7538,230117
2827,230108
7512,230106
7571,230105
7484,230104
7586,230103
7508,230101
7594,230100
7557,230099
7598,230097
7465,230093
7536,230092
461762,230089
4070,230086
7591,230085
7466,230081
7602,230078
7583,230077
5307,230075
7501,230071
7529,230069
7564,230066
7521,230059
1443,230058
7532,230055
7552,230054
7485,230053
7559,230047
7457,230046
7462,230041
7526,230040
277668,230038
7454,230036
400299,230035
7576,230031
7452,230030
7575,230029
7531,230027
7472,230022
7587,230021
7475,230020
7494,230019
7539,230017
7574,230013
7565,230004
7609,230003
7546,230002
52368,224032
3024,224023
3184,224022
3022,224021
3019,224018
3017,224007
2034,224001
5505,223302
5524,223300
5639,220176
5585,220175
5555,220174
5194,220171
5640,220163
4842,220162
5545,220135
5534,220133
5598,220126
5507,220119
5518,220116
33789,220111
5503,220110
5582,220108
5634,220105
5592,220101
5616,220100
5499,220098
5550,220095
5581,220090
5517,220088
5501,220086
5540,220084
5586,220083
5565,220082
5584,220081
5578,220080
2768,220077
5544,220074
5619,220073
5513,220071
5575,220070
5605,220067
5617,220066
5630,220065
5564,220063
5603,220060
5526,220052
5594,220051
51828,220049
5602,220046
5552,220038
5525,220036
5570,220035
5515,220031
5599,220030
5591,220029
5557,220024
5543,220020
5615,220019
5504,220017
5553,220016
5595,220015
5559,220012
5532,220011
5562,220010
5498,220008
83661,220001
1917,214018
3230,214012
1730,214004
3016,214003
3014,214002
2041,214000
87174,210061
35331,210060
6251,210058
6297,210057
6249,210056
5154,210055
6287,210051
6279,210049
6273,210048
6248,210044
6282,210043
6294,210040
6293,210039
6254,210038
6276,210037
6286,210035
6261,210034
6301,210033
6277,210032
6271,210030
3956,210029
